,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977982,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621137,0.0230527321188522,0.002105263157894737
098%,461.0,964.0,0.004545883240592285,0.46637744034707157,0.559652928416486,4.182212581344903,0.18409902945926307,0.20911062906724512,0.01183532756894347,1.3993886807971959e-05,0.004231809381286922,0.02270065811361876,0.0021691973969631237
095%,447.0,889.0,0.004459224927518785,0.20134228187919462,0.2639821029082774,3.9776286353467563,0.16109674835293877,0.19888143176733783,0.002362141974471598,1.0813071940696606e-05,0.004364349272423412,0.022265403265726177,0.0022371364653243847
092%,433.0,802.0,0.004287486100419126,0.12933025404157045,0.16166281755196305,3.704387990762125,0.1763735370317558,0.3367625446147386,0.0012241702969801862,8.95064838669485e-06,0.004505459872455576,0.017082006806256766,0.0023094688221709002
089%,419.0,735.0,0.004196594763106508,0.11217183770883055,0.11933174224343675,3.5083532219570404,0.16522810848949632,0.35083532219570407,0.0005920649738217214,7.780378558192612e-06,0.004656000297788224,0.01599483092596219,0.002386634844868735
086%,405.0,679.0,0.004149859430387483,0.06666666666666667,0.06666666666666667,3.3530864197530863,0.16316162932007033,0.3353086419753087,0.0002878424043121158,7.420443264161442e-06,0.004816948456230289,0.01554562766481563,0.0024691358024691358
083%,391.0,639.0,0.004190438717292937,0.043478260869565216,0.06905370843989769,3.268542199488491,0.1671056192281499,0.3268542199488491,0.00018577643677085488,7.613430347137183e-06,0.004989422313998119,0.015318505296581129,0.0025575447570332487
080%,377.0,601.0,0.004239799085727186,0.042440318302387266,0.04509283819628647,3.1883289124668437,0.17754362526885287,0.35425876805187145,0.00013497751942359427,7.295635709600567e-06,0.0051408896985516185,0.013533879937022895,0.002652519893899204
077%,363.0,553.0,0.004208331430832686,0.03305785123966942,0.03581267217630854,3.046831955922865,0.1741418362184903,0.33853688399142945,8.602886581491134e-05,6.942297529917702e-06,0.005339160926594928,0.013087605289603385,0.0027548209366391185
074%,349.0,510.0,0.004199189803379113,0.03151862464183381,0.03151862464183381,2.9226361031518624,0.1678085746771972,0.32473734479465144,5.4954645333254366e-05,7.087846639394682e-06,0.0055533393018738185,0.013655694401715697,0.0028653295128939823
071%,335.0,469.0,0.004191616766467066,0.026865671641791045,0.03283582089552239,2.8,0.1682228578230824,0.35,3.9265290851670335e-05,7.073878067344864e-06,0.005785419153295406,0.01186861536889808,0.0029850746268656717
