,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977974,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621118,0.0230527321188522,0.002105263157894737
098%,461.0,1122.0,0.005290955389983967,0.911062906724512,0.9783080260303688,4.867678958785249,0.19109831637316244,0.15702190189629833,0.02478505795519293,4.6160141189684915e-05,0.008197200854781978,0.017312116547467213,0.0021691973969631237
095%,447.0,1059.0,0.005311945104884582,0.9038031319910514,0.9753914988814317,4.738255033557047,0.19680045645573224,0.15284693656635634,0.025382098106442697,4.496915933514073e-05,0.008348502499984435,0.011995156598729415,0.0022371364653243847
092%,433.0,989.0,0.005287186724831067,0.9006928406466512,0.9745958429561201,4.568129330254042,0.19385018653682096,0.15752170104324278,0.026720635640758026,4.361101961331762e-05,0.008375634965876701,0.008952301283004244,0.0023094688221709007
089%,419.0,916.0,0.005230041908851103,0.8973747016706444,0.9737470167064439,4.372315035799523,0.19580440895391693,0.1748926014319809,0.027722061881846227,4.259658970546978e-05,0.008356650903844758,0.00559396990535378,0.002386634844868735
086%,405.0,832.0,0.005084952939738418,0.8888888888888888,0.9629629629629629,4.108641975308642,0.186484218392674,0.2162443144899285,0.03056114406588164,3.7598150750045105e-05,0.011711352579449765,0.002663604080276101,0.0024691358024691358
083%,391.0,761.0,0.004990491179749492,0.8363171355498721,0.907928388746803,3.8925831202046037,0.1778466023556182,0.2048727958002423,0.02766917498572539,3.303773611461925e-05,0.011691162839850297,0.00042864230555135345,0.0025575447570332483
080%,377.0,675.0,0.004761837575483944,0.27851458885941643,0.41644562334217505,3.580901856763926,0.0,0.1989389920424403,0.006824312884474293,1.4234044592882902e-05,0.004602674620005938,0.0,0.002652519893899204
077%,363.0,607.0,0.004619271570552334,0.19008264462809918,0.19559228650137742,3.3443526170798896,0.0,0.27869605142332415,0.0018084401716563622,1.0191528358698664e-05,0.004780188241714204,0.0,0.002754820936639119
074%,349.0,556.0,0.004577940256232915,0.18911174785100288,0.19484240687679083,3.1862464183381087,0.0,0.28965876530346446,0.0012674211683205738,9.47200272860114e-06,0.004971943643960613,0.0,0.0028653295128939823
071%,335.0,520.0,0.004647421574760926,0.15223880597014924,0.1582089552238806,3.1044776119402986,0.0,0.2822252374491181,0.0007300713887540235,9.263119958305597e-06,0.00517972636340974,0.0,0.0029850746268656717
068%,321.0,464.0,0.004517133956386293,0.11526479750778816,0.12149532710280374,2.8909657320872273,0.0,0.2890965732087228,0.00044629342083418787,8.320765116595994e-06,0.00537509502519517,0.0,0.003115264797507788
065%,307.0,417.0,0.004438909114134253,0.07166123778501629,0.11726384364820847,2.7166123778501627,0.0,0.27166123778501633,0.0003176009194372112,7.811083767150267e-06,0.005620213365106384,0.0,0.0032573289902280136
062%,293.0,373.0,0.004359717611856562,0.06825938566552901,0.11604095563139932,2.546075085324232,0.0,0.28289723170269243,0.00027043640474862707,7.703342336677703e-06,0.00963156535884455,0.0,0.0034129692832764505
059%,279.0,351.0,0.004525411928521699,0.07168458781362007,0.12186379928315412,2.5161290322580645,0.0,0.27956989247311825,0.00025683424379629874,8.02727892303993e-06,0.01011486971376865,0.0,0.0035842293906810036
056%,265.0,326.0,0.00465980560320183,0.06415094339622641,0.1169811320754717,2.460377358490566,0.0,0.2733752620545074,0.0002469635011424236,8.387725948600039e-06,0.009982486339640264,0.0,0.0037735849056603783
053%,251.0,293.0,0.004669322709163347,0.05179282868525897,0.11952191235059761,2.3346613545816735,0.0,0.2594068171757415,0.00022707563321013136,8.80299840238104e-06,0.008187164475430438,0.0,0.00398406374501992
050%,237.0,259.0,0.004630622899234785,0.0379746835443038,0.09282700421940929,2.1856540084388185,0.0,0.24285044538209097,0.00014074841639011507,8.81416677469628e-06,0.008670794444443412,0.0,0.00421940928270042
047%,223.0,235.0,0.004746899365733447,0.03587443946188341,0.09417040358744394,2.10762331838565,0.0,0.23418036870951672,0.00014221960937867032,9.022430145373655e-06,0.009213763734103415,0.0,0.004484304932735426
044%,209.0,200.0,0.004600662495399337,0.03827751196172249,0.10047846889952153,1.9138755980861244,0.0,0.21265284423179165,0.00011812812156061584,8.153746363877435e-06,0.009830953649306553,0.0,0.004784688995215311
042%,195.0,170.0,0.004493787998942638,0.035897435897435895,0.08717948717948718,1.7435897435897436,0.0,0.19373219373219375,6.697538346488723e-05,8.22213504161832e-06,0.009987185254048988,0.0,0.0051282051282051265
039%,181.0,150.0,0.004604051565377533,0.027624309392265192,0.08287292817679558,1.6574585635359116,0.0,0.23677979479084446,6.087293503571784e-05,8.53328360885453e-06,0.010693803556778634,0.0,0.0055248618784530384
036%,167.0,134.0,0.004833706081812279,0.029940119760479042,0.08383233532934131,1.6047904191616766,0.0,0.22925577416595375,6.449313858591689e-05,8.89185759921565e-06,0.01159029008249659,0.0,0.005988023952095806
033%,153.0,108.0,0.0046439628482972135,0.032679738562091505,0.0915032679738562,1.411764705882353,0.0,0.20168067226890748,6.976765377929958e-05,9.063490311420103e-06,0.012650839501809731,0.0,0.0065359477124183035
030%,139.0,87.0,0.004535502033156084,0.03597122302158273,0.09352517985611511,1.2517985611510791,0.0,0.17882836587872558,6.963645205701513e-05,8.428124402536356e-06,0.013925024775373725,0.0,0.007194244604316545
027%,125.0,69.0,0.004451612903225806,0.04,0.048,1.104,0.0,0.22079999999999994,1.783372672436402e-05,7.723706953946506e-06,0.014091245833417457,0.0,0.007999999999999998
024%,111.0,46.0,0.0037674037674037676,0.02702702702702703,0.036036036036036036,0.8288288288288288,0.0,0.2072072072072072,5.2596382871612235e-06,6.365257695986805e-06,0.015342342231119376,0.0,0.009009009009009005
021%,97.0,34.0,0.0036512027491408935,0.030927835051546393,0.041237113402061855,0.7010309278350515,0.0,0.17525773195876287,7.912823295351782e-06,5.088109848370126e-06,0.017556700903652068,0.0,0.010309278350515469
018%,83.0,27.0,0.0039670878636497205,0.03614457831325301,0.04819277108433735,0.6506024096385542,0.0,0.16265060240963855,9.06970247747993e-06,5.238433347563324e-06,0.020518072140412673,0.0,0.01204819277108434
015%,69.0,21.0,0.004475703324808184,0.028985507246376812,0.028985507246376812,0.6086956521739131,0.0,0.30434782608695654,0.0,5.462807564414261e-06,0.02049584873004554,0.0,0.01449275362318841
