,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977985,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621144,0.0230527321188522,0.002105263157894737
098%,461.0,933.0,0.004399698198623031,0.3275488069414317,0.3839479392624729,4.047722342733189,0.19182570833794,0.33731019522776573,0.00646100078142064,1.3396019059016726e-05,0.004231809381286912,0.019480210160898202,0.0021691973969631233
095%,447.0,801.0,0.004017816835705902,0.17225950782997762,0.1789709172259508,3.5838926174496644,0.18539881616057244,0.39821029082774057,0.0016611868264257363,7.754186672964772e-06,0.004364349272423415,0.01524533121379418,0.0022371364653243847
092%,433.0,695.0,0.003715464887520315,0.08314087759815242,0.08545034642032333,3.2101616628175518,0.17288230051460715,0.40127020785219397,0.0003705479912860567,6.655434130997258e-06,0.004476017127838245,0.01000614651573878,0.0023094688221709002
089%,419.0,609.0,0.003477178518002535,0.050119331742243436,0.06682577565632458,2.9069212410501195,0.17505185066738221,0.48448687350835323,0.00020981946899572304,6.500476551222317e-06,0.004122749885560595,0.006674369503490146,0.0023866348448687348
086%,405.0,538.0,0.0032881065884366213,0.04938271604938271,0.056790123456790124,2.65679012345679,0.17208807213325275,0.531358024691358,0.00014295060606143325,6.227600989121304e-06,0.004265264696419476,0.003348108657939991,0.0024691358024691353
083%,391.0,477.0,0.003128073972063742,0.03324808184143223,0.05115089514066496,2.4398976982097187,0.17768374923782596,0.6099744245524297,6.837651792582462e-05,5.933895221311869e-06,0.004417985171483101,0.002151518696053203,0.0025575447570332487
080%,377.0,421.0,0.0029699757322648006,0.029177718832891247,0.042440318302387266,2.2334217506631298,0.17082392493770748,0.5583554376657824,3.854619335176929e-05,5.5778721661229e-06,0.004532467420663717,0.002231415942060484,0.002652519893899204
077%,363.0,369.0,0.0028080909547509247,0.030303030303030304,0.0440771349862259,2.0330578512396693,0.15908498562264523,0.5082644628099173,3.876674448263219e-05,5.42567770879328e-06,0.0049404842578282876,0.0028017247902101484,0.0027548209366391185
074%,349.0,315.0,0.002593617231498864,0.03151862464183381,0.045845272206303724,1.8051575931232091,0.13852995881079844,0.4512893982808023,3.684998454341279e-05,5.113659610964088e-06,0.004471998238998282,0.00291411489640769,0.0028653295128939827
071%,335.0,263.0,0.0023505228349271607,0.023880597014925373,0.04776119402985075,1.5701492537313433,0.1246126371012016,0.3925373134328358,3.1723563763960585e-05,4.608369524583655e-06,0.004658887717642964,0.001765335469029828,0.002985074626865671
068%,321.0,213.0,0.0020735981308411216,0.012461059190031152,0.040498442367601244,1.3271028037383177,0.10897203747672549,0.3317757009345794,2.0904745163526988e-05,4.160612903521507e-06,0.004862079082275363,0.0018423282932242754,0.0031152647975077902
065%,307.0,162.0,0.0017244682889442423,0.009771986970684038,0.04234527687296417,1.0553745928338762,0.10270307881618634,0.3517915309446254,2.1778348761408768e-05,3.730173827873916e-06,0.00460655883509153,0.0019263432642507897,0.0032573289902280145
062%,293.0,126.0,0.0014727196222357286,0.006825938566552901,0.04436860068259386,0.8600682593856656,0.0,0.4300341296928328,2.3015009642204562e-05,3.4665101938410484e-06,0.0048266674483723425,0.0,0.0034129692832764514
059%,279.0,98.0,0.0012635053247724401,0.007168458781362007,0.03225806451612903,0.7025089605734767,0.0,0.35125448028673834,7.307534664012123e-06,2.845690368072183e-06,0.005068695521636572,0.0,0.0035842293906810044
056%,265.0,72.0,0.0010291595197255575,0.007547169811320755,0.033962264150943396,0.5433962264150943,0.0,0.27169811320754716,7.391513238417608e-06,2.1409558622444695e-06,0.0053364756624022635,0.0,0.003773584905660381
053%,251.0,48.0,0.0007649402390438248,0.00796812749003984,0.01593625498007968,0.38247011952191234,0.0,0.19123505976095617,9.60015360245764e-07,1.8403415989224923e-06,0.0056312076595018655,0.0,0.003984063745019915
050%,237.0,25.0,0.00044697132231995995,0.008438818565400843,0.012658227848101266,0.2109704641350211,0.0,0.10548523206751055,1.5216045015147572e-07,1.1757367396147257e-06,0.005951825387031334,0.0,0.0042194092827004025
047%,223.0,9.0,0.00018179614592170646,0.004484304932735426,0.008968609865470852,0.08071748878923767,0.0,0.08071748878923767,0.0,2.9748010162148913e-07,0.0013856574873912977,0.0,0.004484304932735424
044%,209.0,0.0,0.0,0.004784688995215311,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.004219323067960115,0.0,0.004784688995215328
042%,195.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0007042913651186896,0.0,0.005128205128205118
039%,181.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.00043885603879876477,0.0,0.005524861878453027
036%,167.0,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.00241129324749842,0.0,0.005988023952095827
033%,153.0,0.0,0.0,0.006535947712418301,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.002923381586047105,0.0,0.006535947712418286
030%,139.0,0.0,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.004205999367507999,0.0,0.007194244604316531
027%,125.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.006714156653212335,0.0,0.008000000000000005
024%,111.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.018852230590111194,0.0,0.009009009009009018
021%,97.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.008849702162748389,0.0,0.010309278350515452
018%,83.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0024749514250866464,0.0,0.01204819277108435
015%,69.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.009748176423129237,0.0,0.014492753623188385
