,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977985,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621144,0.0230527321188522,0.002105263157894737
098%,461.0,945.0,0.004456285956804678,0.6247288503253796,0.6898047722342733,4.099783080260304,0.19226359132605267,0.31536792925079254,0.017292501793281262,2.0266918091129635e-05,0.004204154916169111,0.02099271399050032,0.0021691973969631233
095%,447.0,815.0,0.004088040850312497,0.24161073825503357,0.2505592841163311,3.646532438478747,0.17425775813452266,0.30387770320656227,0.0023195792330342776,1.0162736823673337e-05,0.003864501570581405,0.016733170531751534,0.0022371364653243847
092%,433.0,728.0,0.0038918826447694806,0.18937644341801385,0.20092378752886836,3.3625866050808315,0.1799707115753133,0.2802155504234026,0.0013812755007570224,8.59450295874183e-06,0.003989450813048232,0.01379516421541884,0.0023094688221709002
089%,419.0,648.0,0.0036998549748204312,0.13365155131264916,0.14081145584725538,3.0930787589498805,0.17961287206114873,0.3436754176610978,0.0006160948072912786,7.554936071069895e-06,0.006267314700221185,0.012055546287838522,0.0023866348448687348
086%,405.0,577.0,0.0035264637574868598,0.07160493827160494,0.07407407407407407,2.8493827160493828,0.1530796323316369,0.40705467372134035,0.00019897219939804845,7.258823393645654e-06,0.004501781817960269,0.010408706626077714,0.0024691358024691358
083%,391.0,524.0,0.003436290904321595,0.06905370843989769,0.07161125319693094,2.680306905370844,0.17145256654994545,0.382900986481549,0.00020140391017254113,7.041343291847203e-06,0.004662970936761977,0.010781396888904025,0.0025575447570332487
080%,377.0,464.0,0.0032733224222585926,0.07161803713527852,0.07427055702917772,2.4615384615384617,0.1408973224129265,0.3516483516483516,0.00020778072502210436,7.106272408314904e-06,0.005551457494452399,0.011131660232233952,0.002652519893899204
077%,363.0,407.0,0.003097271053072158,0.0743801652892562,0.07713498622589532,2.242424242424242,0.1352041872063266,0.3203463203463203,0.0002122368588641331,6.9382611473136105e-06,0.005444652580940481,0.007978494639030416,0.0027548209366391185
074%,349.0,356.0,0.002931199156868557,0.07736389684813753,0.08022922636103152,2.0401146131805157,0.1376314251325818,0.2914449447400736,0.00022857430850398936,6.747810297583373e-06,0.005663062713127258,0.006896630657920236,0.0028653295128939814
071%,335.0,297.0,0.0026543927071230673,0.05970149253731343,0.0626865671641791,1.773134328358209,0.12325941168030266,0.2533049040511726,0.00011250861192768424,6.367989480763586e-06,0.006574678317996533,0.006493631606442796,0.0029850746268656717
068%,321.0,245.0,0.0023851246105919,0.06230529595015576,0.06542056074766354,1.5264797507788161,0.11223037178899657,0.21806853582554514,0.0001240551665543609,6.291912475468262e-06,0.006861424412862431,0.003774179130416908,0.0031152647975077894
065%,307.0,194.0,0.002065104000340636,0.019543973941368076,0.05863192182410423,1.263843648208469,0.10249764997534752,0.18054909260120985,4.5580967119230525e-05,5.562441772380241e-06,0.007214517187841086,0.0030656594655396672,0.0032573289902280136
062%,293.0,153.0,0.001788302398429099,0.017064846416382253,0.051194539249146756,1.0443686006825939,0.08979762642109297,0.14919551438322767,3.478359223411719e-05,5.056475259821588e-06,0.007708503696882307,0.0031000040138589725,0.0034129692832764484
059%,279.0,125.0,0.0016116139346587246,0.017921146953405017,0.053763440860215055,0.8960573476702509,0.09318820332669688,0.12800819252432152,4.0168168248678104e-05,4.540304236631579e-06,0.008095310334001847,0.0014623261658260817,0.0035842293906810036
056%,265.0,103.0,0.0014722698684962836,0.018867924528301886,0.05660377358490566,0.7773584905660378,0.08746117660204158,0.11105121293800538,4.69034994467235e-05,3.7898555986969544e-06,0.008522987106364212,0.001539581133077271,0.003773584905660375
053%,251.0,89.0,0.0014183266932270915,0.0199203187250996,0.05976095617529881,0.7091633466135459,0.07774743900899184,0.10130904951622081,5.5232883726139626e-05,3.5537679990843355e-06,0.008998372841380524,0.0016254541843246087,0.00398406374501992
050%,237.0,64.0,0.0011442465851390976,0.012658227848101266,0.03375527426160337,0.540084388185654,0.0,0.1350210970464135,1.6052927490980687e-05,2.576374689359369e-06,0.00596545326497088,0.0,0.0042194092827004285
047%,223.0,44.0,0.0008887811578394538,0.008968609865470852,0.026905829596412557,0.39461883408071746,0.0,0.09865470852017937,6.032451297552855e-06,1.965369497955081e-06,0.008377778972432028,0.0,0.004484304932735424
044%,209.0,28.0,0.0006440927493559073,0.004784688995215311,0.014354066985645933,0.2679425837320574,0.0,0.1339712918660287,7.778897939081005e-07,1.2447427432108696e-06,0.0028764253406011464,0.0,0.004784688995215311
042%,195.0,14.0,0.00037007665873645254,0.005128205128205128,0.010256410256410256,0.14358974358974358,0.0,0.14358974358974358,0.0,6.648537459751715e-07,0.0017932794333205362,0.0,0.005128205128205124
039%,181.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,8.867998129596909e-05,0.0,0.005524861878453027
036%,167.0,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.006828857481533737,0.0,0.005988023952095827
033%,153.0,0.0,0.0,0.006535947712418301,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.00047083406015351173,0.0,0.006535947712418286
030%,139.0,0.0,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0009735171704498638,0.0,0.007194244604316531
027%,125.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.000277323238803098,0.0,0.008000000000000005
024%,111.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.011666351238464793,0.0,0.009009009009009018
021%,97.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0037895373021331466,0.0,0.010309278350515452
018%,83.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.01849220744172371,0.0,0.01204819277108435
015%,69.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.009364619168548199,0.0,0.014492753623188385
