,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977985,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621129,0.0230527321188522,0.002105263157894737
098%,461.0,1110.0,0.00523436763180232,0.8872017353579176,0.9414316702819957,4.815618221258134,0.18650760980257514,0.15534252326639142,0.02273839031457574,4.310219125472417e-05,0.008325756587689229,0.022907468311112622,0.0021691973969631233
095%,447.0,1047.0,0.005251753092364643,0.8053691275167785,0.8859060402684564,4.684563758389261,0.17436315047335754,0.1615366813237676,0.018482126522934,3.931297500569365e-05,0.008395819453016273,0.02362898376784521,0.0022371364653243847
092%,433.0,978.0,0.005228380805748011,0.8036951501154734,0.8683602771362586,4.517321016166282,0.17345105143639775,0.18069284064665128,0.01955525037503813,3.5782112998472196e-05,0.012472936501409371,0.020680371098860745,0.0023094688221709007
089%,419.0,919.0,0.005247170867067865,0.6921241050119332,0.747016706443914,4.386634844868735,0.15922854772806577,0.1754653937947494,0.01348862329099619,3.0158844148127516e-05,0.012517502432710841,0.020504791470555596,0.002386634844868735
086%,405.0,867.0,0.005298863219655299,0.6296296296296297,0.7185185185185186,4.281481481481482,0.1534570264806267,0.17839506172839506,0.011171614128603374,2.8318756189247916e-05,0.012569053300498132,0.020135158671848234,0.0024691358024691353
083%,391.0,788.0,0.005167551970621024,0.49104859335038364,0.6751918158567775,4.030690537084399,0.1403859455731235,0.16794543904518328,0.009101722039676923,2.119612289354466e-05,0.009900023510241565,0.01803062845226194,0.0025575447570332483
080%,377.0,733.0,0.005171002878266268,0.47480106100795755,0.6525198938992043,3.8885941644562334,0.13431341743444902,0.16202475685234305,0.008234625731324191,2.1009857858368036e-05,0.008594842164615452,0.01720534698132964,0.002652519893899204
077%,363.0,681.0,0.005182411762019999,0.30578512396694213,0.3443526170798898,3.7520661157024793,0.11466744589732665,0.16313330937836865,0.0035779449561134736,1.3929987153681494e-05,0.008926323680606165,0.01814650752059768,0.0027548209366391185
074%,349.0,637.0,0.00524487040147548,0.24641833810888253,0.25501432664756446,3.650429799426934,0.10708815147609048,0.15871433910551888,0.0020198323627052153,1.2442704545499882e-05,0.009284399702177941,0.018711247606344825,0.0028653295128939823
071%,335.0,606.0,0.005416033604432925,0.2507462686567164,0.25970149253731345,3.617910447761194,0.102435533164762,0.1573004542504867,0.0018433349785570718,1.2141478558962743e-05,0.009672404465850819,0.018590784471119556,0.0029850746268656717
