,random,centrality,degree,betweenness,closeness,eigenvector,clustering,pagerank
100%,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527
098%,0.9414316702819957,0.6160520607375272,0.3839479392624729,0.559652928416486,0.9501084598698482,0.8633405639913232,0.9783080260303688,0.6898047722342733
095%,0.8859060402684564,0.18568232662192394,0.1789709172259508,0.2639821029082774,0.8098434004474273,0.6375838926174496,0.9753914988814317,0.2505592841163311
092%,0.8683602771362586,0.12702078521939955,0.08545034642032333,0.16166281755196305,0.6120092378752887,0.2540415704387991,0.9745958429561201,0.20092378752886836
089%,0.747016706443914,0.06682577565632458,0.06682577565632458,0.11933174224343675,0.25059665871121717,0.26252983293556087,0.9737470167064439,0.14081145584725538
086%,0.7185185185185186,0.04938271604938271,0.056790123456790124,0.06666666666666667,0.18518518518518517,0.2518518518518518,0.9629629629629629,0.07407407407407407
083%,0.6751918158567775,0.05115089514066496,0.05115089514066496,0.06905370843989769,0.12276214833759591,0.2608695652173913,0.907928388746803,0.07161125319693094
080%,0.6525198938992043,0.05305039787798409,0.042440318302387266,0.04509283819628647,0.09018567639257294,0.16445623342175067,0.41644562334217505,0.07427055702917772
077%,0.3443526170798898,0.03581267217630854,0.0440771349862259,0.03581267217630854,0.09366391184573003,0.17079889807162535,0.19559228650137742,0.07713498622589532
074%,0.25501432664756446,0.03724928366762178,0.045845272206303724,0.03151862464183381,0.09742120343839542,0.17765042979942694,0.19484240687679083,0.08022922636103152
071%,0.25970149253731345,0.03880597014925373,0.04776119402985075,0.03283582089552239,0.10149253731343283,0.18507462686567164,0.1582089552238806,0.0626865671641791
068%,0.24610591900311526,0.028037383177570093,0.040498442367601244,0.024922118380062305,0.1059190031152648,0.102803738317757,0.12149532710280374,0.06542056074766354
065%,0.23127035830618892,0.029315960912052116,0.04234527687296417,0.02280130293159609,0.05863192182410423,0.06840390879478828,0.11726384364820847,0.05863192182410423
062%,0.20819112627986347,0.027303754266211604,0.04436860068259386,0.023890784982935155,0.06143344709897611,0.06484641638225255,0.11604095563139932,0.051194539249146756
059%,0.21863799283154123,0.02867383512544803,0.03225806451612903,0.021505376344086023,0.06451612903225806,0.06810035842293907,0.12186379928315412,0.053763440860215055
056%,0.1471698113207547,0.03018867924528302,0.033962264150943396,0.01509433962264151,0.04905660377358491,0.07169811320754717,0.1169811320754717,0.05660377358490566
053%,0.13147410358565736,0.03187250996015936,0.01593625498007968,0.01593625498007968,0.05179282868525897,0.07569721115537849,0.11952191235059761,0.05976095617529881
050%,0.13924050632911392,0.02531645569620253,0.012658227848101266,0.016877637130801686,0.05485232067510549,0.08016877637130802,0.09282700421940929,0.03375527426160337
047%,0.07623318385650224,0.026905829596412557,0.008968609865470852,0.008968609865470852,0.05829596412556054,0.08520179372197309,0.09417040358744394,0.026905829596412557
044%,0.06220095693779904,0.028708133971291867,0.004784688995215311,0.009569377990430622,0.05741626794258373,0.09090909090909091,0.10047846889952153,0.014354066985645933
042%,0.046153846153846156,0.03076923076923077,0.005128205128205128,0.010256410256410256,0.035897435897435895,0.09743589743589744,0.08717948717948718,0.010256410256410256
039%,0.03867403314917127,0.03314917127071823,0.0055248618784530384,0.011049723756906077,0.027624309392265192,0.10497237569060773,0.08287292817679558,0.0055248618784530384
036%,0.041916167664670656,0.03592814371257485,0.005988023952095809,0.011976047904191617,0.029940119760479042,0.11377245508982035,0.08383233532934131,0.005988023952095809
033%,0.0392156862745098,0.0392156862745098,0.006535947712418301,0.013071895424836602,0.0196078431372549,0.06535947712418301,0.0915032679738562,0.006535947712418301
030%,0.04316546762589928,0.04316546762589928,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.05755395683453238,0.09352517985611511,0.007194244604316547
027%,0.04,0.048,0.008,0.016,0.008,0.056,0.048,0.008
024%,0.036036036036036036,0.02702702702702703,0.009009009009009009,0.018018018018018018,0.009009009009009009,0.06306306306306306,0.036036036036036036,0.009009009009009009
021%,0.041237113402061855,0.030927835051546393,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.07216494845360824,0.041237113402061855,0.010309278350515464
018%,0.04819277108433735,0.024096385542168676,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.060240963855421686,0.04819277108433735,0.012048192771084338
015%,0.043478260869565216,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.043478260869565216,0.028985507246376812,0.014492753623188406
