,random,centrality,degree,betweenness,closeness,eigenvector,pagerank
100%,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527
099%,0.9400428265524625,0.8886509635974305,0.8972162740899358,0.9036402569593148,0.9593147751605996,0.8758029978586723,0.9785867237687366
097%,0.9237472766884531,0.48366013071895425,0.35076252723311546,0.6296296296296297,0.7037037037037037,0.6492374727668845,0.9782135076252724
095%,0.8913525498891353,0.24390243902439024,0.14855875831485588,0.3946784922394678,0.3968957871396896,0.6430155210643016,0.9778270509977827
094%,0.8623024830699775,0.12415349887133183,0.13769751693002258,0.18284424379232506,0.3860045146726862,0.654627539503386,0.9751693002257337
092%,0.8390804597701149,0.08275862068965517,0.14022988505747128,0.11494252873563218,0.27816091954022987,0.24597701149425288,0.9747126436781609
090%,0.8149882903981265,0.06557377049180328,0.0702576112412178,0.08196721311475409,0.2529274004683841,0.18032786885245902,0.9742388758782201
089%,0.7995226730310262,0.050119331742243436,0.06682577565632458,0.06443914081145585,0.2577565632458234,0.18377088305489261,0.9737470167064439
087%,0.7664233576642335,0.051094890510948905,0.0681265206812652,0.06326034063260341,0.26277372262773724,0.1873479318734793,0.9683698296836983
085%,0.7245657568238213,0.04962779156327544,0.04962779156327544,0.062034739454094295,0.11166253101736973,0.19106699751861042,0.9627791563275434
084%,0.7139240506329114,0.05063291139240506,0.05063291139240506,0.04050632911392405,0.11392405063291139,0.1670886075949367,0.9139240506329114
082%,0.6847545219638242,0.03359173126614987,0.041343669250646,0.041343669250646,0.11627906976744186,0.1421188630490956,0.8604651162790697
080%,0.6543535620052771,0.03430079155672823,0.04221635883905013,0.04221635883905013,0.07387862796833773,0.14511873350923482,0.6464379947229552
079%,0.6172506738544474,0.03504043126684636,0.0431266846361186,0.03234501347708895,0.07547169811320754,0.14824797843665768,0.6307277628032345
077%,0.5895316804407713,0.03581267217630854,0.0440771349862259,0.03305785123966942,0.07713498622589532,0.15151515151515152,0.5895316804407713
075%,0.5690140845070423,0.036619718309859155,0.04507042253521127,0.030985915492957747,0.07887323943661972,0.15492957746478872,0.5915492957746479
074%,0.515850144092219,0.037463976945244955,0.04610951008645533,0.03170028818443804,0.08069164265129683,0.1585014409221902,0.553314121037464
072%,0.4690265486725664,0.038348082595870206,0.0471976401179941,0.02359882005899705,0.08259587020648967,0.16224188790560473,0.4896755162241888
070%,0.46827794561933533,0.02416918429003021,0.04833836858006042,0.021148036253776436,0.07250755287009064,0.1661631419939577,0.4743202416918429
068%,0.4148606811145511,0.021671826625386997,0.04953560371517028,0.021671826625386997,0.07430340557275542,0.17027863777089783,0.4582043343653251
067%,0.4158730158730159,0.022222222222222223,0.04126984126984127,0.01904761904761905,0.06666666666666667,0.1746031746031746,0.33650793650793653
065%,0.3941368078175896,0.019543973941368076,0.04234527687296417,0.019543973941368076,0.06840390879478828,0.1791530944625407,0.2736156351791531
063%,0.3979933110367893,0.020066889632107024,0.043478260869565216,0.016722408026755852,0.07023411371237458,0.08695652173913043,0.27424749163879597
062%,0.4020618556701031,0.020618556701030927,0.044673539518900345,0.013745704467353952,0.07216494845360824,0.08934707903780069,0.27835051546391754
060%,0.3992932862190813,0.0176678445229682,0.045936395759717315,0.014134275618374558,0.07420494699646643,0.0636042402826855,0.2826855123674912
058%,0.3927272727272727,0.01818181818181818,0.04727272727272727,0.014545454545454545,0.06181818181818182,0.06545454545454546,0.12363636363636364
057%,0.34831460674157305,0.018726591760299626,0.02247191011235955,0.0149812734082397,0.06367041198501873,0.06367041198501873,0.07116104868913857
055%,0.3590733590733591,0.019305019305019305,0.019305019305019305,0.015444015444015444,0.06563706563706563,0.06563706563706563,0.06177606177606178
053%,0.3665338645418327,0.0199203187250996,0.01593625498007968,0.01195219123505976,0.05179282868525897,0.06772908366533864,0.055776892430278883
052%,0.35390946502057613,0.0205761316872428,0.01646090534979424,0.00823045267489712,0.053497942386831275,0.06995884773662552,0.05761316872427984
050%,0.33191489361702126,0.02127659574468085,0.01276595744680851,0.00851063829787234,0.05531914893617021,0.07234042553191489,0.059574468085106386
048%,0.31718061674008813,0.022026431718061675,0.00881057268722467,0.00881057268722467,0.05726872246696035,0.07488986784140969,0.06167400881057269
047%,0.2328767123287671,0.0228310502283105,0.0091324200913242,0.0091324200913242,0.0593607305936073,0.0776255707762557,0.0639269406392694
045%,0.23222748815165878,0.023696682464454975,0.004739336492890996,0.009478672985781991,0.03317535545023697,0.08056872037914692,0.06635071090047394
043%,0.21674876847290642,0.024630541871921183,0.0049261083743842365,0.009852216748768473,0.034482758620689655,0.08374384236453201,0.06896551724137931
042%,0.11282051282051282,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.02564102564102564,0.08717948717948718,0.05128205128205128
040%,0.11229946524064172,0.026737967914438502,0.0053475935828877,0.0106951871657754,0.026737967914438502,0.09090909090909091,0.053475935828877004
038%,0.11173184357541899,0.027932960893854747,0.00558659217877095,0.0111731843575419,0.027932960893854747,0.09497206703910614,0.05027932960893855
036%,0.08187134502923976,0.029239766081871343,0.005847953216374269,0.011695906432748537,0.023391812865497075,0.09941520467836257,0.05263157894736842
035%,0.08588957055214724,0.03067484662576687,0.006134969325153374,0.012269938650306749,0.018404907975460124,0.0736196319018405,0.05521472392638037
033%,0.08387096774193549,0.03225806451612903,0.0064516129032258064,0.012903225806451613,0.012903225806451613,0.07096774193548387,0.04516129032258064
031%,0.08843537414965986,0.034013605442176874,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.07482993197278912,0.034013605442176874
030%,0.06474820143884892,0.03597122302158273,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.07913669064748201,0.03597122302158273
028%,0.061068702290076333,0.03816793893129771,0.007633587786259542,0.015267175572519083,0.007633587786259542,0.08396946564885496,0.03816793893129771
