,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.1905093058797798,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621135,0.0230527321188522,0.002105263157894737
098%,461.0,984.0,0.00464019617089503,0.3947939262472885,0.6160520607375272,4.268980477223427,0.18932264408740296,0.21344902386117137,0.01616610952176358,1.4832711810614167e-05,0.0042414721399560255,0.023220762267201683,0.0021691973969631233
095%,447.0,852.0,0.004273632888915641,0.18120805369127516,0.18568232662192394,3.8120805369127515,0.18737964928305248,0.31767337807606266,0.0016884084950091916,9.162013164738788e-06,0.006516930373686229,0.018550459922595797,0.0022371364653243847
092%,433.0,781.0,0.004175220254896929,0.12471131639722864,0.12702078521939955,3.607390300230947,0.17738096000262354,0.3006158583525789,0.000986713955506655,7.792432024810667e-06,0.005310752014859266,0.01477026359484817,0.0023094688221709002
089%,419.0,693.0,0.0039567893480718505,0.06443914081145585,0.06682577565632458,3.307875894988067,0.16679655654329442,0.3307875894988067,0.0002613432657740385,7.168241132860197e-06,0.005713594312028963,0.014337670048538045,0.0023866348448687348
086%,405.0,622.0,0.003801491260237135,0.04197530864197531,0.04938271604938271,3.071604938271605,0.17242156973857364,0.341289437585734,0.00014959312308402054,7.075825991579446e-06,0.005262527123956837,0.01117916297709986,0.0024691358024691353
083%,391.0,559.0,0.0036658141517476556,0.03580562659846547,0.05115089514066496,2.8593350383631715,0.17476439469654073,0.40847643405188155,9.821538299700548e-05,6.899572996534216e-06,0.005296313688601828,0.007878885509645023,0.002557544757033249
080%,377.0,507.0,0.0035766691122523842,0.03183023872679045,0.05305039787798409,2.689655172413793,0.14432426185122738,0.38423645320197036,7.897360648644581e-05,6.94041655614893e-06,0.00489138319904496,0.0038531625662060467,0.002652519893899204
077%,363.0,461.0,0.0035082111927918058,0.030303030303030304,0.03581267217630854,2.5399449035812673,0.13952110654194919,0.36284927194018096,5.59472212381217e-05,7.066958843916131e-06,0.00502264913574077,0.001813596230726899,0.0027548209366391185
074%,349.0,423.0,0.003482857425155617,0.025787965616045846,0.03724928366762178,2.4240687679083095,0.0,0.34629553827261556,3.744319099131062e-05,7.200735139635483e-06,0.004877732027409583,0.0,0.0028653295128939827
071%,335.0,390.0,0.0034855661810706943,0.026865671641791045,0.03880597014925373,2.328358208955224,0.0,0.33262260127931764,3.346809138211408e-05,7.043100946410673e-06,0.005081577544972966,0.0,0.0029850746268656717
068%,321.0,366.0,0.0035630841121495325,0.028037383177570093,0.028037383177570093,2.2803738317757007,0.0,0.3257676902536715,2.8106963935194683e-05,7.15827681997777e-06,0.005303203979956178,0.0,0.003115264797507788
065%,307.0,333.0,0.0035447403717187203,0.029315960912052116,0.029315960912052116,2.1693811074918568,0.0,0.4338762214983713,2.7641750351018815e-05,7.0658292590821416e-06,0.005545043900866262,0.0,0.003257328990228013
062%,293.0,304.0,0.0035532282949179484,0.023890784982935155,0.027303754266211604,2.0750853242320817,0.0,0.4150170648464164,2.0685392610358377e-05,6.806504050623382e-06,0.005803019535837003,0.0,0.0034129692832764514
059%,279.0,275.0,0.003545550656249194,0.021505376344086023,0.02867383512544803,1.971326164874552,0.0,0.3942652329749104,1.810592983631029e-05,6.786719879875628e-06,0.006094210480287612,0.0,0.0035842293906810044
056%,265.0,241.0,0.0034448256146369354,0.022641509433962263,0.03018867924528302,1.818867924528302,0.0,0.3637735849056604,1.6630904786439617e-05,6.513799475563855e-06,0.005780047568844073,0.0,0.0037735849056603774
053%,251.0,214.0,0.003410358565737052,0.0199203187250996,0.03187250996015936,1.705179282868526,0.0,0.3410358565737052,1.657626522024353e-05,6.188705401222096e-06,0.0061024406603333815,0.0,0.003984063745019919
050%,237.0,193.0,0.003450618608310091,0.02109704641350211,0.02531645569620253,1.628691983122363,0.0,0.32573839662447257,1.3694440513632817e-05,6.364216193382458e-06,0.006462922387104127,0.0,0.0042194092827004225
047%,223.0,175.0,0.0035349250595887367,0.02242152466367713,0.026905829596412557,1.5695067264573992,0.0,0.31390134529147984,1.4806925912175186e-05,6.547613029487874e-06,0.0068686663934694105,0.0,0.004484304932735427
044%,209.0,160.0,0.00368052999631947,0.023923444976076555,0.028708133971291867,1.5311004784688995,0.0,0.3062200956937799,1.5113287424500239e-05,6.797000487156713e-06,0.0073287684485343245,0.0,0.00478468899521531
042%,195.0,139.0,0.0036743325403119217,0.02564102564102564,0.03076923076923077,1.4256410256410257,0.0,0.2851282051282051,1.4655145257143014e-05,7.0593831948575695e-06,0.007854936439711172,0.0,0.005128205128205126
039%,181.0,113.0,0.0034683855125844077,0.022099447513812154,0.03314917127071823,1.2486187845303867,0.0,0.31215469613259667,1.131722172495036e-05,6.759079090678429e-06,0.008304977374041749,0.0,0.005524861878453041
036%,167.0,103.0,0.00371546064497511,0.023952095808383235,0.03592814371257485,1.2335329341317365,0.0,0.3083832335329341,1.3554490143480838e-05,7.15368964112116e-06,0.009001203022165036,0.0,0.005988023952095806
033%,153.0,85.0,0.003654970760233918,0.026143790849673203,0.0392156862745098,1.1111111111111112,0.0,0.2777777777777778,1.3383998888273794e-05,7.210082174312138e-06,0.009824842514389186,0.0,0.006535947712418302
030%,139.0,72.0,0.003753518923991242,0.02877697841726619,0.04316546762589928,1.0359712230215827,0.0,0.2589928057553957,1.636266359809645e-05,7.775763749986031e-06,0.012164285374689823,0.0,0.007194244604316548
027%,125.0,54.0,0.0034838709677419357,0.032,0.048,0.864,0.0,0.216,1.993181222134802e-05,7.631055909164658e-06,0.013654076649650711,0.0,0.007999999999999995
024%,111.0,36.0,0.0029484029484029483,0.02702702702702703,0.02702702702702703,0.6486486486486487,0.0,0.16216216216216217,3.756884490829445e-06,6.789691756490444e-06,0.015376212443300345,0.0,0.009009009009009007
021%,97.0,22.0,0.0023625429553264603,0.030927835051546393,0.030927835051546393,0.4536082474226804,0.0,0.1134020618556701,2.2608066558147946e-06,5.05975307254368e-06,0.01759545960006535,0.0,0.010309278350515462
018%,83.0,15.0,0.0022039377020276227,0.024096385542168676,0.024096385542168676,0.3614457831325301,0.0,0.18072289156626506,0.0,5.7613377155958605e-06,0.017030724676257325,0.0,0.012048192771084331
015%,69.0,11.0,0.0023444160272804776,0.028985507246376812,0.028985507246376812,0.3188405797101449,0.0,0.15942028985507245,0.0,7.204152498529739e-06,0.020493346031463865,0.0,0.014492753623188429
