,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977985,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621134,0.0230527321188522,0.002105263157894737
098%,461.0,1046.0,0.004932566254833537,0.8937093275488069,0.9501084598698482,4.537960954446855,0.19894077149631034,0.206270952474857,0.031815732465243426,3.276228637991145e-05,0.009085146506094318,0.01930341172198859,0.0021691973969631237
095%,447.0,956.0,0.0047952969974217755,0.39373601789709173,0.8098434004474273,4.2774049217002235,0.17805492928067546,0.19442749644091925,0.023758880717128086,2.0356580787740986e-05,0.004379827205857107,0.015886545454327113,0.0022371364653243843
092%,433.0,871.0,0.0046563595928492,0.4064665127020785,0.6120092378752887,4.023094688221709,0.16604214004647572,0.18286794037371407,0.012125269482682555,1.581309310982635e-05,0.004521438247155014,0.02136386074682157,0.0023094688221709007
089%,419.0,791.0,0.004516335316486052,0.2458233890214797,0.25059665871121717,3.775656324582339,0.1661941976109184,0.3146380270485282,0.002727201253921894,1.1446863530853455e-05,0.004656000297788226,0.016816392100538397,0.002386634844868735
086%,405.0,744.0,0.004547121378804547,0.12839506172839507,0.18518518518518517,3.674074074074074,0.17602330813554665,0.30617283950617286,0.0014222114243406696,8.839786331414022e-06,0.0048169484562302885,0.016627808329356702,0.0024691358024691353
083%,391.0,692.0,0.004538002491966686,0.11764705882352941,0.12276214833759591,3.5396419437340154,0.1688983888507578,0.29497016197783466,0.0008294193002836714,8.207347824883126e-06,0.0049894223139981255,0.015635872579797556,0.0025575447570332487
080%,377.0,626.0,0.004416163440374739,0.07161803713527852,0.09018567639257294,3.320954907161804,0.17950436697671707,0.3320954907161804,0.00042378238049551323,7.1743882849820455e-06,0.0051619081872523506,0.012983534555269006,0.002652519893899204
077%,363.0,595.0,0.004527951539503523,0.0743801652892562,0.09366391184573003,3.278236914600551,0.1842502363441851,0.3278236914600551,0.00044066341852362325,6.7674357976121515e-06,0.005360990045713884,0.013044711996764014,0.002754820936639119
074%,349.0,554.0,0.004561472845239271,0.07736389684813753,0.09742120343839542,3.174785100286533,0.14942141191247207,0.31747851002865335,0.00037502511636100397,6.391362791388285e-06,0.005576044087662286,0.012701372478681291,0.0028653295128939823
071%,335.0,508.0,0.004540173384574135,0.08059701492537313,0.10149253731343283,3.032835820895522,0.16583792008069284,0.33698175787728024,0.0003745903379472063,5.971675542279084e-06,0.005809072795803393,0.013093384572054145,0.0029850746268656712
068%,321.0,469.0,0.004565809968847352,0.08411214953271028,0.1059190031152648,2.9221183800623054,0.14984194616682558,0.3246798200069228,0.00041019077334739594,5.683578218635507e-06,0.006062427995620385,0.013664435612579871,0.003115264797507788
065%,307.0,428.0,0.0045560026399267635,0.03908794788273615,0.05863192182410423,2.788273615635179,0.1895772187632641,0.30980817951501993,0.00013210104176591698,5.232601501333153e-06,0.006338890510078624,0.013589409109041141,0.003257328990228013
062%,293.0,371.0,0.004336341109916312,0.03754266211604096,0.06143344709897611,2.532423208191126,0.16523759677985225,0.2813803564656807,0.00011668168064677881,4.8036018358018065e-06,0.006641772650491943,0.012227359579464345,0.0034129692832764505
059%,279.0,330.0,0.004254660787499033,0.03942652329749104,0.06451612903225806,2.3655913978494625,0.16598143467471727,0.2628434886499402,0.00011771181633940546,4.3732938515390975e-06,0.00697505156485355,0.012840918841516318,0.0035842293906810036
056%,265.0,277.0,0.003959405374499714,0.04150943396226415,0.04905660377358491,2.090566037735849,0.12271563812759025,0.23228511530398324,8.717637672369001e-05,4.000966425823538e-06,0.0073435448550722236,0.010596243334755524,0.0037735849056603774
053%,251.0,233.0,0.0037131474103585657,0.043824701195219126,0.05179282868525897,1.8565737051792828,0.13864545749811016,0.26522481502561185,6.976111617785886e-05,3.615365296100931e-06,0.007753144966510515,0.006828197090156839,0.00398406374501992
050%,237.0,191.0,0.003414860902524494,0.0379746835443038,0.05485232067510549,1.6118143459915613,0.10270972115122662,0.26863572433192684,5.865785353339389e-05,3.5989819183433766e-06,0.00821113665229594,0.0054158413929265336,0.004219409282700422
047%,223.0,158.0,0.0031915323395144022,0.04035874439461883,0.05829596412556054,1.4170403587443947,0.1354653945518506,0.2361733931240658,4.734560260806634e-05,2.707782766125887e-06,0.008726634020601521,0.005755849372751518,0.004484304932735428
044%,209.0,120.0,0.0027603974972396023,0.023923444976076555,0.05741626794258373,1.1483253588516746,0.1251686854645818,0.28708133971291866,2.9782066395338707e-05,2.2342323483761353e-06,0.00826522584712864,0.0017652096354180361,0.004784688995215309
042%,195.0,90.0,0.0023790642347343376,0.02564102564102564,0.035897435897435895,0.9230769230769231,0.0,0.23076923076923078,9.724442179973403e-06,1.7886067037188328e-06,0.008858626677177864,0.0,0.005128205128205131
039%,181.0,64.0,0.0019643953345610805,0.027624309392265192,0.027624309392265192,0.7071823204419889,0.0,0.17679558011049723,6.344503088229747e-06,1.2733099895549259e-06,0.00954382432071755,0.0,0.005524861878453041
036%,167.0,40.0,0.0014428973378544116,0.017964071856287425,0.029940119760479042,0.47904191616766467,0.0,0.11976047904191617,2.8420705139556594e-06,8.172051410322959e-07,0.008585184631509833,0.0,0.005988023952095817
033%,153.0,24.0,0.0010319917440660474,0.0196078431372549,0.0196078431372549,0.3137254901960784,0.0,0.0784313725490196,8.542978013791783e-07,4.714232948819617e-07,0.009370757081451927,0.0,0.0065359477124183095
030%,139.0,7.0,0.00036492545094359295,0.014388489208633094,0.014388489208633094,0.10071942446043165,0.0,0.050359712230215826,0.0,1.230990267553004e-07,0.010173383017520857,0.0,0.007194244604316572
027%,125.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.003756584482028365,0.0,0.008000000000000005
024%,111.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.00646212636570545,0.0,0.009009009009009018
