,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
100%,475.0,1179.0,0.005236508994003997,0.9221052631578948,0.9789473684210527,4.96421052631579,0.19050930587977988,0.15043062200956936,0.024181309242276346,4.694854901860601e-05,0.008299983319621155,0.0230527321188522,0.002105263157894737
098%,461.0,1061.0,0.005003300952560596,0.806941431670282,0.8633405639913232,4.603036876355748,0.19247236417749772,0.1917932031814895,0.021009206914555566,3.585150208452928e-05,0.01035426009218196,0.02529086193465202,0.0021691973969631237
095%,447.0,933.0,0.004679928973425227,0.38926174496644295,0.6375838926174496,4.174496644295302,0.16452073439808662,0.18974984746796827,0.014260321887495266,1.711328227690844e-05,0.004379786051855616,0.021871863844287246,0.0022371364653243847
092%,433.0,863.0,0.004613591651697887,0.23787528868360278,0.2540415704387991,3.9861431870669746,0.1556322913825864,0.19930715935334875,0.0037690798601498245,1.4612473582743515e-05,0.006282478377308776,0.01942266968419787,0.0023094688221709002
089%,419.0,815.0,0.004653366982220141,0.2458233890214797,0.26252983293556087,3.8902147971360383,0.1504052944342294,0.19451073985680192,0.0032869046827833327,1.4455040058260772e-05,0.006477052334968811,0.01888436765952906,0.002386634844868735
086%,405.0,765.0,0.004675467546754675,0.21975308641975308,0.2518518518518518,3.7777777777777777,0.13771843716634327,0.18888888888888888,0.0022071885986503256,1.271844165167804e-05,0.005677915116229181,0.01624426101156156,0.0024691358024691353
083%,391.0,735.0,0.004819988195947276,0.22762148337595908,0.2608695652173913,3.7595907928388748,0.14212813708651734,0.18797953964194372,0.002398766592811261,1.3497228157816423e-05,0.009145839020767205,0.01981290344584735,0.0025575447570332483
080%,377.0,654.0,0.0046136915175799985,0.15119363395225463,0.16445623342175067,3.4694960212201593,0.17108957057587598,0.2891246684350133,0.0015256410256410259,1.0807293808108202e-05,0.006350122060318657,0.013719487163673357,0.002652519893899204
077%,363.0,624.0,0.004748641614538149,0.15702479338842976,0.17079889807162535,3.43801652892562,0.1714588450592897,0.2865013774104683,0.001639681513170385,1.1421560187862998e-05,0.007098435926426103,0.015377732811276057,0.002754820936639119
074%,349.0,582.0,0.004792016599150282,0.16332378223495703,0.17765042979942694,3.335243553008596,0.15460678475698214,0.27793696275071633,0.0014717333331055423,1.1627517007885224e-05,0.008886249639795292,0.013900976850286077,0.0028653295128939827
071%,335.0,526.0,0.004701045669854321,0.1701492537313433,0.18507462686567164,3.1402985074626866,0.14347823016061353,0.2854816824966079,0.0010902358252434222,1.014373120388249e-05,0.009183579327459074,0.010966226917446099,0.0029850746268656717
068%,321.0,486.0,0.004731308411214954,0.102803738317757,0.102803738317757,3.02803738317757,0.136841659466316,0.302803738317757,0.00045467057783767426,9.62374779134769e-06,0.006457739214496857,0.009315265788563733,0.003115264797507789
065%,307.0,456.0,0.004854058887398607,0.06840390879478828,0.06840390879478828,2.970684039087948,0.14317549732436222,0.29706840390879485,0.0002576755591433989,9.970505598166508e-06,0.00714846178585098,0.009740066182830484,0.0032573289902280136
062%,293.0,425.0,0.004967506662303053,0.06143344709897611,0.06484641638225255,2.901023890784983,0.13479354259088322,0.2901023890784983,0.00022468754614047524,1.033191143007599e-05,0.00622259944120781,0.009392064976362602,0.003412969283276452
